Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	69	69
OG0000001	58	58
OG0000002	47	46
OG0000003	47	47
OG0000004	47	47
OG0000005	46	46
OG0000006	46	46
OG0000007	43	43
OG0000008	36	36
OG0000009	33	31
OG0000010	35	35
OG0000011	34	34
OG0000012	32	32
OG0000013	33	33
OG0000014	32	32
OG0000015	31	31
OG0000016	28	27
OG0000017	26	26
OG0000018	31	31
OG0000019	31	31
OG0000020	28	28
OG0000021	24	24
OG0000022	29	29
OG0000023	28	28
OG0000024	25	20
OG0000025	29	29
OG0000026	19	16
OG0000027	27	27
OG0000028	26	26
OG0000029	25	25
OG0000030	27	27
OG0000031	27	27
OG0000032	27	27
OG0000033	25	25
OG0000034	25	25
OG0000035	24	24
OG0000036	23	23
OG0000037	22	22
OG0000038	19	16
OG0000039	14	10
OG0000040	24	24
OG0000041	13	9
OG0000042	19	17
OG0000043	17	17
OG0000044	21	19
OG0000045	23	23
OG0000046	21	21
OG0000047	22	22
OG0000048	23	23
OG0000049	22	22
OG0000050	21	21
OG0000051	18	17
OG0000052	22	22
OG0000053	19	19
OG0000054	18	18
OG0000055	22	22
OG0000056	21	21
OG0000057	18	18
OG0000058	20	20
OG0000059	20	20
OG0000060	19	19
OG0000061	18	18
OG0000062	19	19
OG0000063	16	16
OG0000064	18	18
OG0000065	19	19
OG0000066	16	16
OG0000067	13	13
OG0000068	14	14
OG0000069	17	17
OG0000070	17	17
OG0000071	16	16
OG0000072	11	11
OG0000073	14	14
OG0000074	14	14
OG0000075	11	11
OG0000076	18	18
OG0000077	10	9
OG0000078	16	16
OG0000079	13	12
OG0000080	15	15
OG0000081	14	14
OG0000082	17	17
OG0000083	18	18
OG0000084	18	18
OG0000085	14	14
OG0000086	15	15
OG0000087	13	13
OG0000088	12	10
OG0000089	16	16
OG0000090	15	15
OG0000091	16	16
OG0000092	15	15
OG0000093	14	14
OG0000094	15	15
OG0000095	15	15
OG0000096	17	17
OG0000097	11	10
OG0000098	10	10
OG0000099	15	15
OG0000100	11	10
OG0000101	12	12
OG0000102	12	11
OG0000103	14	14
OG0000104	14	14
OG0000105	11	10
OG0000106	14	14
OG0000107	13	13
OG0000108	14	14
OG0000109	13	13
OG0000110	13	13
OG0000111	15	15
OG0000112	13	13
OG0000113	12	12
OG0000114	14	14
OG0000115	15	15
OG0000116	14	14
OG0000117	15	15
OG0000118	13	13
OG0000119	11	11
OG0000120	13	13
OG0000121	7	7
OG0000122	11	11
OG0000123	11	10
OG0000124	15	15
OG0000125	15	15
OG0000126	14	14
OG0000127	15	15
OG0000128	10	10
OG0000129	10	10
OG0000130	11	11
OG0000131	13	13
OG0000132	12	12
OG0000133	12	12
OG0000134	14	14
OG0000135	12	12
OG0000136	10	10
OG0000137	14	14
OG0000138	12	12
OG0000139	7	4
OG0000140	14	14
OG0000141	13	13
OG0000142	11	11
OG0000143	11	11
OG0000144	7	7
OG0000145	6	6
OG0000146	10	9
OG0000147	11	5
OG0000148	9	9
OG0000149	14	14
OG0000150	13	13
OG0000151	12	12
OG0000152	12	12
OG0000153	11	11
OG0000154	8	7
OG0000155	12	12
OG0000156	13	13
OG0000157	11	11
OG0000158	12	12
OG0000159	14	14
OG0000160	13	13
OG0000161	12	12
OG0000162	12	12
OG0000163	12	12
OG0000164	8	8
OG0000165	8	8
OG0000166	9	8
OG0000167	8	7
OG0000168	11	11
OG0000169	7	7
OG0000170	11	11
OG0000171	11	11
OG0000172	9	9
OG0000173	11	11
OG0000174	12	12
OG0000175	9	9
OG0000176	9	9
OG0000177	10	10
OG0000178	9	9
OG0000179	9	9
OG0000180	10	10
OG0000181	13	13
OG0000182	11	11
OG0000183	10	10
OG0000184	13	13
OG0000185	12	12
OG0000186	11	11
OG0000187	12	12
OG0000188	11	11
OG0000189	11	11
OG0000190	11	11
OG0000191	11	11
OG0000192	11	11
OG0000193	13	13
OG0000194	8	8
OG0000195	12	12
OG0000196	12	12
OG0000197	7	6
OG0000198	12	12
OG0000199	10	10
OG0000200	10	10
OG0000201	11	11
OG0000202	10	10
OG0000203	9	9
OG0000204	10	10
OG0000205	7	7
OG0000206	9	9
OG0000207	10	10
OG0000208	10	10
OG0000209	8	8
OG0000210	10	10
OG0000211	8	8
OG0000212	9	9
OG0000213	9	9
OG0000214	9	9
OG0000215	11	11
OG0000216	8	8
OG0000217	8	8
OG0000218	9	9
OG0000219	11	11
OG0000220	9	9
OG0000221	8	8
OG0000222	9	9
OG0000223	8	7
OG0000224	5	5
OG0000225	11	11
OG0000226	8	8
OG0000227	8	8
OG0000228	6	6
OG0000229	7	5
OG0000230	11	11
OG0000231	10	10
OG0000232	10	10
OG0000233	11	11
OG0000234	11	11
OG0000235	11	11
OG0000236	12	12
OG0000237	7	4
OG0000238	7	6
OG0000239	11	11
OG0000240	9	9
OG0000241	10	10
OG0000242	11	11
OG0000243	11	11
OG0000244	8	8
OG0000245	9	9
OG0000246	11	11
OG0000247	10	10
OG0000248	7	7
OG0000249	9	9
OG0000250	9	9
OG0000251	7	6
OG0000252	5	5
OG0000253	10	10
OG0000254	9	9
OG0000255	9	9
OG0000256	8	8
OG0000257	7	7
OG0000258	9	9
OG0000259	8	8
OG0000260	8	8
OG0000261	10	10
OG0000262	11	11
OG0000263	9	9
OG0000264	9	9
OG0000265	10	10
OG0000266	5	3
OG0000267	9	9
OG0000268	9	9
OG0000269	7	5
OG0000270	11	11
OG0000271	6	6
OG0000272	10	10
OG0000273	10	10
OG0000274	6	6
OG0000275	11	11
OG0000276	8	7
OG0000277	7	5
OG0000278	5	5
OG0000279	10	10
OG0000280	8	8
OG0000281	5	5
OG0000282	7	6
OG0000283	9	9
OG0000284	10	10
OG0000285	8	8
OG0000286	7	7
OG0000287	7	7
OG0000288	8	8
OG0000289	10	10
OG0000290	11	11
OG0000291	10	10
OG0000292	11	11
OG0000293	11	11
OG0000294	10	10
OG0000295	8	8
OG0000296	11	11
OG0000297	9	9
OG0000298	9	9
OG0000299	10	10
OG0000300	11	11
OG0000301	10	10
OG0000302	7	7
OG0000303	8	8
OG0000304	7	7
OG0000305	6	6
OG0000306	8	8
OG0000307	10	10
OG0000308	8	8
OG0000309	10	10
OG0000310	8	8
OG0000311	6	6
OG0000312	10	10
OG0000313	6	4
OG0000314	8	8
OG0000315	8	8
OG0000316	8	8
OG0000317	7	7
OG0000318	6	6
OG0000319	7	7
OG0000320	7	7
OG0000321	6	6
OG0000322	7	7
OG0000323	9	9
OG0000324	10	10
OG0000325	7	7
OG0000326	6	6
OG0000327	3	3
OG0000328	6	6
OG0000329	8	8
OG0000330	7	7
OG0000331	6	6
OG0000332	5	5
OG0000333	9	9
OG0000334	8	8
OG0000335	7	7
OG0000336	8	8
OG0000337	8	8
OG0000338	8	8
OG0000339	9	9
OG0000340	9	9
OG0000341	9	9
OG0000342	8	8
OG0000343	4	4
OG0000344	8	8
OG0000345	8	8
OG0000346	6	6
OG0000347	10	10
OG0000348	7	7
OG0000349	8	8
OG0000350	7	7
OG0000351	8	8
OG0000352	9	9
OG0000353	8	8
OG0000354	6	6
OG0000355	9	9
OG0000356	8	8
OG0000357	9	9
OG0000358	6	5
OG0000359	7	7
OG0000360	8	8
OG0000361	8	8
OG0000362	9	9
OG0000363	9	9
OG0000364	9	9
OG0000365	9	9
OG0000366	8	8
OG0000367	9	9
OG0000368	9	9
OG0000369	9	9
OG0000370	9	9
OG0000371	9	9
OG0000372	10	10
OG0000373	10	10
OG0000374	10	10
OG0000375	10	10
OG0000376	10	10
OG0000377	10	10
OG0000378	10	10
OG0000379	10	10
OG0000380	10	10
OG0000381	5	5
OG0000382	7	7
OG0000383	9	9
OG0000384	5	5
OG0000385	8	8
OG0000386	7	7
OG0000387	8	8
OG0000388	6	6
OG0000389	6	5
OG0000390	7	7
OG0000391	8	8
OG0000392	8	8
OG0000393	6	6
OG0000394	6	6
OG0000395	8	8
OG0000396	6	6
OG0000397	6	6
OG0000398	5	4
OG0000399	7	7
OG0000400	6	6
OG0000401	7	7
OG0000402	5	4
OG0000403	5	5
OG0000404	6	6
OG0000405	6	6
OG0000406	9	9
OG0000407	7	7
OG0000408	9	9
OG0000409	4	4
OG0000410	5	5
OG0000411	5	5
OG0000412	7	7
OG0000413	4	3
OG0000414	6	6
OG0000415	6	6
OG0000416	5	4
OG0000417	9	9
OG0000418	8	8
OG0000419	7	7
OG0000420	8	8
OG0000421	8	8
OG0000422	8	8
OG0000423	7	7
OG0000424	5	5
OG0000425	3	3
OG0000426	7	7
OG0000427	6	6
OG0000428	8	8
OG0000429	7	7
OG0000430	5	5
OG0000431	9	9
OG0000432	6	6
OG0000433	7	7
OG0000434	7	7
OG0000435	5	5
OG0000436	6	6
OG0000437	9	9
OG0000438	5	4
OG0000439	5	5
OG0000440	6	6
OG0000441	7	7
OG0000442	7	7
OG0000443	8	8
OG0000444	6	6
OG0000445	4	4
OG0000446	7	7
OG0000447	5	5
OG0000448	6	6
OG0000449	5	5
OG0000450	5	5
OG0000451	5	5
OG0000452	7	7
OG0000453	5	5
OG0000454	5	5
OG0000455	6	6
OG0000456	7	7
OG0000457	7	7
OG0000458	6	6
OG0000459	4	4
OG0000460	6	5
OG0000461	5	4
OG0000462	6	6
OG0000463	8	8
OG0000464	5	5
OG0000465	8	8
OG0000466	9	9
OG0000467	5	5
OG0000468	4	4
OG0000469	5	5
OG0000470	7	7
OG0000471	5	5
OG0000472	4	4
OG0000473	6	6
OG0000474	8	8
OG0000475	7	7
OG0000476	4	4
OG0000477	6	6
OG0000478	7	7
OG0000479	9	9
OG0000480	7	7
OG0000481	6	6
OG0000482	7	7
OG0000483	8	8
OG0000484	6	6
OG0000485	8	8
OG0000486	9	9
OG0000487	9	9
OG0000488	8	8
OG0000489	8	8
OG0000490	8	8
OG0000491	6	6
OG0000492	8	8
OG0000493	8	8
OG0000494	9	9
OG0000495	9	9
OG0000496	9	9
OG0000497	9	9
OG0000498	9	9
OG0000499	9	9
OG0000500	9	9
OG0000501	9	9
OG0000502	9	9
OG0000503	4	4
OG0000504	7	7
OG0000505	7	7
OG0000506	8	8
OG0000507	8	8
OG0000508	8	8
OG0000509	4	4
OG0000510	6	6
OG0000511	5	5
OG0000512	5	5
OG0000513	5	5
OG0000514	8	8
