Orthogroup	Species	Sbro	Orthologs
OG0000000	Tgra	EVM0013061.1	KUTeg_005562
OG0000000	Azeb	EVM0013061.1	mikado.HiC_scaffold_12.3160685G1517.1
OG0000000	Azeb	EVM0016627.1, EVM0001590.1, EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1	mikado.HiC_scaffold_2.0G553.1
OG0000000	Tgra	EVM0016627.1, EVM0001590.1, EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1	KUTeg_021748
OG0000001	Azeb	EVM0017731.1	mikado.HiC_scaffold_1.0G794.1, mikado.HiC_scaffold_15.0G1386.1, mikado.HiC_scaffold_19.0G1139.1, mikado.HiC_scaffold_10.0G633.1, mikado.HiC_scaffold_18.0G44.1, mikado.HiC_scaffold_17.0G405.1, mikado.HiC_scaffold_15.0G1091.1, mikado.HiC_scaffold_5.0G297.1, mikado.HiC_scaffold_17.0G525.1, mikado.HiC_scaffold_21.0G823.1, mikado.HiC_scaffold_15.0G552.1, mikado.HiC_scaffold_11.0G291.1, mikado.HiC_scaffold_17.0G1056.1, mikado.HiC_scaffold_19.0G1488.1, mikado.HiC_scaffold_3.0G189.1, mikado.HiC_scaffold_10.0G2.1, mikado.HiC_scaffold_7.0G878.1, mikado.HiC_scaffold_10.0G702.1, mikado.HiC_scaffold_15.0G1293.1, mikado.HiC_scaffold_2.0G1101.1, mikado.HiC_scaffold_19.0G4.1, mikado.HiC_scaffold_1.0G529.1, mikado.HiC_scaffold_15.0G2346.1, mikado.HiC_scaffold_13.0G1453.1, mikado.HiC_scaffold_13.0G1178.1, mikado.HiC_scaffold_2.0G49.1, mikado.HiC_scaffold_2.0G1134.1, mikado.HiC_scaffold_2.0G1413.1, mikado.HiC_scaffold_10.0G62.1, mikado.HiC_scaffold_19.0G720.1, mikado.HiC_scaffold_9.0G1195.1, mikado.HiC_scaffold_19.0G938.1, mikado.HiC_scaffold_12.3160685G431.1, mikado.HiC_scaffold_21.0G569.1, mikado.HiC_scaffold_17.0G380.1, mikado.HiC_scaffold_19.0G263.1, mikado.HiC_scaffold_2.0G11.1, mikado.HiC_scaffold_14.0G514.1, mikado.HiC_scaffold_15.0G1802.1, mikado.HiC_scaffold_15.0G1429.1, mikado.HiC_scaffold_7.0G461.1, mikado.HiC_scaffold_2.0G260.1, mikado.HiC_scaffold_21.0G85.1, mikado.HiC_scaffold_11.0G661.1, mikado.HiC_scaffold_21.0G153.1, mikado.HiC_scaffold_17.0G79.1, mikado.HiC_scaffold_17.0G1194.1, mikado.HiC_scaffold_18.0G1248.1, mikado.HiC_scaffold_9.0G448.1, mikado.HiC_scaffold_5.0G422.1, mikado.HiC_scaffold_19.0G53.1, mikado.HiC_scaffold_1.0G419.1, mikado.HiC_scaffold_8.8335562G1108.1, mikado.HiC_scaffold_10.0G848.1, mikado.HiC_scaffold_21.0G1019.1, mikado.HiC_scaffold_19.0G376.1, mikado.HiC_scaffold_8.8335562G971.1, mikado.HiC_scaffold_4.0G259.1, mikado.HiC_scaffold_5.0G335.1
OG0000002	Tgra	EVM0002233.1, EVM0014452.1, EVM0017298.1, EVM0003748.1, EVM0020719.1, EVM0017577.1, EVM0014201.1, EVM0010281.1, EVM0010920.1, EVM0008845.1, EVM0000195.1, EVM0020990.1, EVM0006998.1, EVM0008932.1, EVM0003185.1, EVM0009365.1, EVM0009952.1, EVM0008430.1, EVM0007041.1, EVM0012913.1, EVM0005216.1, EVM0011893.1, EVM0010132.1, EVM0010294.1, EVM0007854.1, EVM0001310.1, EVM0020551.1, EVM0012470.1, EVM0000410.1, EVM0004224.1, EVM0003353.1, EVM0022418.1, EVM0005519.1, EVM0011397.1, EVM0003219.1, EVM0016217.1, EVM0023952.1, EVM0021103.1, EVM0007633.1, EVM0022614.1, EVM0009441.1, EVM0015079.1	KUTeg_000267, KUTeg_000635, KUTeg_018359
OG0000002	Azeb	EVM0002233.1, EVM0014452.1, EVM0017298.1, EVM0003748.1, EVM0020719.1, EVM0017577.1, EVM0014201.1, EVM0010281.1, EVM0010920.1, EVM0008845.1, EVM0000195.1, EVM0020990.1, EVM0006998.1, EVM0008932.1, EVM0003185.1, EVM0009365.1, EVM0009952.1, EVM0008430.1, EVM0007041.1, EVM0012913.1, EVM0005216.1, EVM0011893.1, EVM0010132.1, EVM0010294.1, EVM0007854.1, EVM0001310.1, EVM0020551.1, EVM0012470.1, EVM0000410.1, EVM0004224.1, EVM0003353.1, EVM0022418.1, EVM0005519.1, EVM0011397.1, EVM0003219.1, EVM0016217.1, EVM0023952.1, EVM0021103.1, EVM0007633.1, EVM0022614.1, EVM0009441.1, EVM0015079.1	mikado.HiC_scaffold_16.0G17.1
OG0000002	Azeb	EVM0006340.1, EVM0014809.1, EVM0004453.1	mikado.HiC_scaffold_8.8335562G275.1
OG0000003	Azeb	EVM0007102.1	mikado.HiC_scaffold_21.0G10.1
OG0000003	Azeb	EVM0022563.1	mikado.HiC_scaffold_21.0G147.1, mikado.HiC_scaffold_2.0G345.1, mikado.HiC_scaffold_21.0G1225.1, mikado.HiC_scaffold_19.0G1345.1, mikado.HiC_scaffold_12.3160685G1573.1, mikado.HiC_scaffold_2.0G375.1, mikado.HiC_scaffold_21.0G239.1, mikado.HiC_scaffold_2.0G340.1, mikado.HiC_scaffold_21.0G15.1, mikado.HiC_scaffold_21.0G24.1, mikado.HiC_scaffold_21.0G336.1, mikado.HiC_scaffold_19.0G1427.1, mikado.HiC_scaffold_21.0G961.1, mikado.HiC_scaffold_19.0G1022.1, mikado.HiC_scaffold_21.0G1.1, mikado.HiC_scaffold_19.0G1340.1, mikado.HiC_scaffold_19.0G1201.1, mikado.HiC_scaffold_21.0G142.1, mikado.HiC_scaffold_21.0G204.1, mikado.HiC_scaffold_4366G1.1, mikado.HiC_scaffold_21.0G469.1, mikado.HiC_scaffold_2.0G364.1, mikado.HiC_scaffold_21.0G451.1, mikado.HiC_scaffold_21.0G935.1, mikado.HiC_scaffold_21.0G945.1, mikado.HiC_scaffold_19.0G791.1, mikado.HiC_scaffold_2.0G360.1, mikado.HiC_scaffold_21.0G8.1, mikado.HiC_scaffold_21.0G466.1, mikado.HiC_scaffold_12.3160685G925.1, mikado.HiC_scaffold_21.0G52.1, mikado.HiC_scaffold_19.0G1144.1, mikado.HiC_scaffold_19.0G34.1, mikado.HiC_scaffold_21.0G90.1, mikado.HiC_scaffold_2.0G376.1, mikado.HiC_scaffold_1935G1.1, mikado.HiC_scaffold_19.0G688.1, mikado.HiC_scaffold_19.0G1432.1, mikado.HiC_scaffold_19.0G721.1, mikado.HiC_scaffold_21.0G27.1, mikado.HiC_scaffold_19.0G552.1, mikado.HiC_scaffold_21.0G474.1, mikado.HiC_scaffold_19.0G559.1, mikado.HiC_scaffold_19.0G871.1, mikado.HiC_scaffold_19.0G873.1, mikado.HiC_scaffold_21.0G4.1, mikado.HiC_scaffold_21.0G5.1
