Orthogroup	Sbro	Tgra
OG0000000	EVM0013061.1	KUTeg_005562
OG0000000	EVM0016627.1, EVM0001590.1, EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1	KUTeg_021748
OG0000002	EVM0002233.1, EVM0014452.1, EVM0017298.1, EVM0003748.1, EVM0020719.1, EVM0017577.1, EVM0014201.1, EVM0010281.1, EVM0010920.1, EVM0008845.1, EVM0000195.1, EVM0020990.1, EVM0006998.1, EVM0008932.1, EVM0003185.1, EVM0009365.1, EVM0009952.1, EVM0008430.1, EVM0007041.1, EVM0012913.1, EVM0005216.1, EVM0011893.1, EVM0010132.1, EVM0010294.1, EVM0007854.1, EVM0001310.1, EVM0020551.1, EVM0012470.1, EVM0000410.1, EVM0004224.1, EVM0003353.1, EVM0022418.1, EVM0005519.1, EVM0011397.1, EVM0003219.1, EVM0016217.1, EVM0023952.1, EVM0021103.1, EVM0007633.1, EVM0022614.1, EVM0009441.1, EVM0015079.1	KUTeg_000267, KUTeg_000635, KUTeg_018359
OG0000004	EVM0009804.1	KUTeg_015485, KUTeg_015704, KUTeg_011448, KUTeg_006131, KUTeg_006061, KUTeg_011449, KUTeg_011455, KUTeg_011432, KUTeg_008189, KUTeg_006058, KUTeg_011431, KUTeg_011451, KUTeg_014769, KUTeg_023489, KUTeg_017735, KUTeg_006060, KUTeg_006056, KUTeg_017302, KUTeg_000869, KUTeg_011435, KUTeg_006062, KUTeg_006132, KUTeg_006054, KUTeg_006057, KUTeg_001064, KUTeg_023480, KUTeg_001063, KUTeg_004002, KUTeg_003997, KUTeg_006059, KUTeg_006055, KUTeg_006262, KUTeg_006263, KUTeg_001069, KUTeg_008499, KUTeg_008500, KUTeg_023362, KUTeg_022848, KUTeg_011433, KUTeg_011439, KUTeg_011445, KUTeg_011454, KUTeg_011452, KUTeg_011430, KUTeg_011447, KUTeg_000870, KUTeg_011456, KUTeg_011446
OG0000008	EVM0003323.1, EVM0022072.1, EVM0022022.1, EVM0016586.1, EVM0005171.1, EVM0022311.1, EVM0018092.1, EVM0006401.1	KUTeg_022192
OG0000008	EVM0012425.1	KUTeg_006471
OG0000008	EVM0008250.1	KUTeg_009614
OG0000015	EVM0017892.1	KUTeg_002913, KUTeg_005788
OG0000015	EVM0021996.1	KUTeg_017319, KUTeg_005377, KUTeg_018463, KUTeg_014564, KUTeg_014724, KUTeg_011243, KUTeg_014799, KUTeg_014797, KUTeg_014721, KUTeg_017320, KUTeg_014719, KUTeg_002914, KUTeg_017322, KUTeg_015689, KUTeg_011230, KUTeg_011245, KUTeg_014718, KUTeg_002878, KUTeg_017321, KUTeg_005432, KUTeg_014800, KUTeg_005543, KUTeg_005546, KUTeg_017323, KUTeg_014722, KUTeg_005376, KUTeg_014798, KUTeg_014725, KUTeg_011229, KUTeg_009057
OG0000016	EVM0015943.1	KUTeg_008976, KUTeg_010577, KUTeg_004493, KUTeg_018047, KUTeg_008454, KUTeg_013667, KUTeg_001014, KUTeg_009055, KUTeg_006074, KUTeg_001089, KUTeg_005778, KUTeg_009388, KUTeg_011281, KUTeg_014559, KUTeg_014507, KUTeg_021497, KUTeg_010864, KUTeg_014880, KUTeg_021610, KUTeg_005715, KUTeg_010627, KUTeg_024960, KUTeg_000785, KUTeg_008760, KUTeg_018596, KUTeg_019893, KUTeg_010629, KUTeg_006535
OG0000017	EVM0009242.1, EVM0020778.1	KUTeg_011932, KUTeg_009324, KUTeg_021486, KUTeg_000996, KUTeg_021980, KUTeg_014613
OG0000017	EVM0007965.1	KUTeg_017219
OG0000017	EVM0023499.1, EVM0023306.1, EVM0008269.1	KUTeg_006561, KUTeg_017217, KUTeg_014622
OG0000017	EVM0000837.1, EVM0019665.1, EVM0015619.1, EVM0005663.1, EVM0013176.1	KUTeg_001320
OG0000017	EVM0023571.1, EVM0018113.1, EVM0011639.1	KUTeg_010499
OG0000017	EVM0009068.1, EVM0020546.1	KUTeg_001323
