Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N0	n0	1.0	Non-Terminal	EVM0013061.1, mikado.HiC_scaffold_12.3160685G1517.1, KUTeg_005562	mikado.HiC_scaffold_2.0G553.1, KUTeg_021748, EVM0016627.1, EVM0001590.1, EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1
OG0000000	Sbro	n5	1.0	Terminal	EVM0016627.1	EVM0001590.1, EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1
OG0000000	Sbro	n6	1.0	Terminal	EVM0001590.1	EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1
OG0000000	Sbro	n7	1.0	Terminal	EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1	EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1
OG0000000	Sbro	n8	1.0	Terminal	EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1	EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1
OG0000000	Sbro	n9	1.0	Terminal	EVM0019510.1	EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1
OG0000000	Sbro	n10	1.0	Terminal	EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1	EVM0010773.1
OG0000000	Sbro	n11	1.0	Terminal	EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1	EVM0007039.1, EVM0009213.1, EVM0014600.1
OG0000000	Sbro	n12	1.0	Terminal	EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1	EVM0010545.1
OG0000000	Sbro	n13	1.0	Terminal	EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1	EVM0020595.1
