HOG	OG	Gene Tree Parent Clade	Azeb	Sbro	Tgra
N0.HOG0000000	OG0000000	n1	mikado.HiC_scaffold_12.3160685G1517.1	EVM0013061.1	KUTeg_005562
N0.HOG0000001	OG0000000	n3	mikado.HiC_scaffold_2.0G553.1	EVM0016627.1, EVM0001590.1, EVM0019510.1, EVM0017314.1, EVM0002065.1, EVM0003626.1, EVM0002047.1, EVM0000731.1, EVM0020595.1, EVM0010545.1, EVM0007039.1, EVM0009213.1, EVM0014600.1, EVM0010773.1, EVM0008008.1, EVM0009516.1, EVM0014117.1, EVM0010901.1, EVM0004382.1, EVM0003143.1, EVM0002459.1, EVM0022489.1, EVM0003822.1, EVM0016006.1, EVM0021538.1, EVM0020232.1, EVM0011358.1, EVM0003213.1, EVM0015440.1, EVM0021017.1, EVM0014132.1, EVM0020358.1, EVM0020142.1, EVM0008394.1, EVM0004331.1, EVM0010343.1, EVM0010851.1, EVM0009135.1, EVM0017747.1, EVM0008082.1, EVM0016699.1, EVM0020381.1, EVM0010258.1, EVM0022032.1, EVM0016385.1, EVM0016251.1, EVM0022309.1, EVM0009579.1, EVM0017929.1, EVM0022421.1, EVM0011881.1, EVM0009624.1, EVM0018694.1, EVM0003454.1, EVM0014789.1, EVM0003084.1, EVM0005800.1, EVM0000078.1, EVM0006528.1, EVM0005398.1, EVM0022955.1, EVM0022845.1, EVM0021141.1, EVM0014031.1, EVM0015407.1, EVM0000127.1, EVM0019036.1, EVM0015898.1, EVM0014630.1	KUTeg_021748
N0.HOG0000002	OG0000001	n0	mikado.HiC_scaffold_1.0G794.1, mikado.HiC_scaffold_15.0G1386.1, mikado.HiC_scaffold_19.0G1139.1, mikado.HiC_scaffold_10.0G633.1, mikado.HiC_scaffold_18.0G44.1, mikado.HiC_scaffold_17.0G405.1, mikado.HiC_scaffold_15.0G1091.1, mikado.HiC_scaffold_5.0G297.1, mikado.HiC_scaffold_17.0G525.1, mikado.HiC_scaffold_21.0G823.1, mikado.HiC_scaffold_15.0G552.1, mikado.HiC_scaffold_11.0G291.1, mikado.HiC_scaffold_17.0G1056.1, mikado.HiC_scaffold_19.0G1488.1, mikado.HiC_scaffold_3.0G189.1, mikado.HiC_scaffold_10.0G2.1, mikado.HiC_scaffold_7.0G878.1, mikado.HiC_scaffold_10.0G702.1, mikado.HiC_scaffold_15.0G1293.1, mikado.HiC_scaffold_2.0G1101.1, mikado.HiC_scaffold_19.0G4.1, mikado.HiC_scaffold_1.0G529.1, mikado.HiC_scaffold_15.0G2346.1, mikado.HiC_scaffold_13.0G1453.1, mikado.HiC_scaffold_13.0G1178.1, mikado.HiC_scaffold_2.0G49.1, mikado.HiC_scaffold_2.0G1134.1, mikado.HiC_scaffold_2.0G1413.1, mikado.HiC_scaffold_10.0G62.1, mikado.HiC_scaffold_19.0G720.1, mikado.HiC_scaffold_9.0G1195.1, mikado.HiC_scaffold_19.0G938.1, mikado.HiC_scaffold_12.3160685G431.1, mikado.HiC_scaffold_21.0G569.1, mikado.HiC_scaffold_17.0G380.1, mikado.HiC_scaffold_19.0G263.1, mikado.HiC_scaffold_2.0G11.1, mikado.HiC_scaffold_14.0G514.1, mikado.HiC_scaffold_15.0G1802.1, mikado.HiC_scaffold_15.0G1429.1, mikado.HiC_scaffold_7.0G461.1, mikado.HiC_scaffold_2.0G260.1, mikado.HiC_scaffold_21.0G85.1, mikado.HiC_scaffold_11.0G661.1, mikado.HiC_scaffold_21.0G153.1, mikado.HiC_scaffold_17.0G79.1, mikado.HiC_scaffold_17.0G1194.1, mikado.HiC_scaffold_18.0G1248.1, mikado.HiC_scaffold_9.0G448.1, mikado.HiC_scaffold_5.0G422.1, mikado.HiC_scaffold_19.0G53.1, mikado.HiC_scaffold_1.0G419.1, mikado.HiC_scaffold_8.8335562G1108.1, mikado.HiC_scaffold_10.0G848.1, mikado.HiC_scaffold_21.0G1019.1, mikado.HiC_scaffold_19.0G376.1, mikado.HiC_scaffold_8.8335562G971.1, mikado.HiC_scaffold_4.0G259.1, mikado.HiC_scaffold_5.0G335.1	EVM0017731.1	
N0.HOG0000003	OG0000002	n1	mikado.HiC_scaffold_16.0G17.1	EVM0002233.1, EVM0014452.1, EVM0017298.1, EVM0003748.1, EVM0020719.1, EVM0017577.1, EVM0014201.1, EVM0010281.1, EVM0010920.1, EVM0008845.1, EVM0000195.1, EVM0020990.1, EVM0006998.1, EVM0008932.1, EVM0003185.1, EVM0009365.1, EVM0009952.1, EVM0008430.1, EVM0007041.1, EVM0012913.1, EVM0005216.1, EVM0011893.1, EVM0010132.1, EVM0010294.1, EVM0007854.1, EVM0001310.1, EVM0020551.1, EVM0012470.1, EVM0000410.1, EVM0004224.1, EVM0003353.1, EVM0022418.1, EVM0005519.1, EVM0011397.1, EVM0003219.1, EVM0016217.1, EVM0023952.1, EVM0021103.1, EVM0007633.1, EVM0022614.1, EVM0009441.1, EVM0015079.1	KUTeg_000267, KUTeg_000635, KUTeg_018359
N0.HOG0000004	OG0000002	n46	mikado.HiC_scaffold_8.8335562G275.1	EVM0008881.1, EVM0006340.1, EVM0014809.1, EVM0004453.1	
N0.HOG0000005	OG0000003	n1	mikado.HiC_scaffold_21.0G10.1	EVM0007102.1	
N0.HOG0000006	OG0000003	n2	mikado.HiC_scaffold_21.0G147.1, mikado.HiC_scaffold_2.0G345.1, mikado.HiC_scaffold_21.0G1225.1, mikado.HiC_scaffold_19.0G1345.1, mikado.HiC_scaffold_12.3160685G1573.1, mikado.HiC_scaffold_2.0G375.1, mikado.HiC_scaffold_21.0G239.1, mikado.HiC_scaffold_2.0G340.1, mikado.HiC_scaffold_21.0G15.1, mikado.HiC_scaffold_21.0G24.1, mikado.HiC_scaffold_21.0G336.1, mikado.HiC_scaffold_19.0G1427.1, mikado.HiC_scaffold_21.0G961.1, mikado.HiC_scaffold_19.0G1022.1, mikado.HiC_scaffold_21.0G1.1, mikado.HiC_scaffold_19.0G1340.1, mikado.HiC_scaffold_19.0G1201.1, mikado.HiC_scaffold_21.0G142.1, mikado.HiC_scaffold_21.0G204.1, mikado.HiC_scaffold_4366G1.1, mikado.HiC_scaffold_21.0G469.1, mikado.HiC_scaffold_2.0G364.1, mikado.HiC_scaffold_21.0G451.1, mikado.HiC_scaffold_21.0G935.1, mikado.HiC_scaffold_21.0G945.1, mikado.HiC_scaffold_19.0G791.1, mikado.HiC_scaffold_2.0G360.1, mikado.HiC_scaffold_21.0G8.1, mikado.HiC_scaffold_21.0G466.1, mikado.HiC_scaffold_12.3160685G925.1, mikado.HiC_scaffold_21.0G52.1, mikado.HiC_scaffold_19.0G1144.1, mikado.HiC_scaffold_19.0G34.1, mikado.HiC_scaffold_21.0G90.1, mikado.HiC_scaffold_2.0G376.1, mikado.HiC_scaffold_1935G1.1, mikado.HiC_scaffold_19.0G688.1, mikado.HiC_scaffold_19.0G1432.1, mikado.HiC_scaffold_19.0G721.1, mikado.HiC_scaffold_21.0G27.1, mikado.HiC_scaffold_19.0G552.1, mikado.HiC_scaffold_21.0G474.1, mikado.HiC_scaffold_19.0G559.1, mikado.HiC_scaffold_19.0G871.1, mikado.HiC_scaffold_19.0G873.1, mikado.HiC_scaffold_21.0G4.1, mikado.HiC_scaffold_21.0G5.1	EVM0022563.1	
N0.HOG0000007	OG0000004	n0	mikado.HiC_scaffold_2.0G517.1	EVM0009804.1	KUTeg_015485, KUTeg_015704, KUTeg_011448, KUTeg_006131, KUTeg_006061, KUTeg_011449, KUTeg_011455, KUTeg_011432, KUTeg_008189, KUTeg_006058, KUTeg_011431, KUTeg_011451, KUTeg_014769, KUTeg_023489, KUTeg_017735, KUTeg_006060, KUTeg_006056, KUTeg_017302, KUTeg_000869, KUTeg_011435, KUTeg_006062, KUTeg_006132, KUTeg_006054, KUTeg_006057, KUTeg_001064, KUTeg_023480, KUTeg_001063, KUTeg_004002, KUTeg_003997, KUTeg_006059, KUTeg_006055, KUTeg_006262, KUTeg_006263, KUTeg_001069, KUTeg_008499, KUTeg_008500, KUTeg_023362, KUTeg_022848, KUTeg_011433, KUTeg_011439, KUTeg_011445, KUTeg_011454, KUTeg_011452, KUTeg_011430, KUTeg_011447, KUTeg_000870, KUTeg_011456, KUTeg_011446
N0.HOG0000008	OG0000005	n1	mikado.HiC_scaffold_5.0G539.1		KUTeg_024695
N0.HOG0000009	OG0000005	n2	mikado.HiC_scaffold_17.0G376.1		KUTeg_016065, KUTeg_019685, KUTeg_015565, KUTeg_004162, KUTeg_000337, KUTeg_000836, KUTeg_000134, KUTeg_000630, KUTeg_001239, KUTeg_001237, KUTeg_001049, KUTeg_001238, KUTeg_019683, KUTeg_001236, KUTeg_001048, KUTeg_001046, KUTeg_009331, KUTeg_000336, KUTeg_000340, KUTeg_000139, KUTeg_000837, KUTeg_001050, KUTeg_000339, KUTeg_020103, KUTeg_009333, KUTeg_009330, KUTeg_001047, KUTeg_012244, KUTeg_024142, KUTeg_023910, KUTeg_024051, KUTeg_024822, KUTeg_024226, KUTeg_023941, KUTeg_024363, KUTeg_024145, KUTeg_024151, KUTeg_024574, KUTeg_025055, KUTeg_024366, KUTeg_024364, KUTeg_024144, KUTeg_024367, KUTeg_024362, KUTeg_024405, KUTeg_024090
N0.HOG0000010	OG0000006	n0	mikado.HiC_scaffold_19.0G1479.1, mikado.HiC_scaffold_13.0G1579.1, mikado.HiC_scaffold_13.0G1276.1, mikado.HiC_scaffold_7.0G358.1, mikado.HiC_scaffold_10.0G336.1, mikado.HiC_scaffold_13.0G219.1, mikado.HiC_scaffold_10.0G877.1, mikado.HiC_scaffold_15.0G1320.1, mikado.HiC_scaffold_21.0G1238.1, mikado.HiC_scaffold_8.8335562G831.1, mikado.HiC_scaffold_7.0G1245.1, mikado.HiC_scaffold_4.0G867.1, mikado.HiC_scaffold_5.0G529.1, mikado.HiC_scaffold_19.0G793.2, mikado.HiC_scaffold_19.0G793.1, mikado.HiC_scaffold_21.0G1231.1, mikado.HiC_scaffold_21.0G164.1, mikado.HiC_scaffold_17.0G591.1, mikado.HiC_scaffold_521G1.2, mikado.HiC_scaffold_15.0G919.1, mikado.HiC_scaffold_19.0G1497.2, mikado.HiC_scaffold_8.8335562G757.1, mikado.HiC_scaffold_2.0G405.1, mikado.HiC_scaffold_21.0G1051.1, mikado.HiC_scaffold_15.0G1419.2, mikado.HiC_scaffold_15.0G1419.3, mikado.HiC_scaffold_15.0G1419.1, mikado.HiC_scaffold_7.0G1121.1, mikado.HiC_scaffold_16.0G1667.1, mikado.HiC_scaffold_1.0G659.1, mikado.HiC_scaffold_4.0G387.2, mikado.HiC_scaffold_4.0G387.1, mikado.HiC_scaffold_10.0G821.1, mikado.HiC_scaffold_19.0G1497.1, mikado.HiC_scaffold_521G1.3, mikado.HiC_scaffold_521G1.1, mikado.HiC_scaffold_17.0G959.1, mikado.HiC_scaffold_10.0G540.1, mikado.HiC_scaffold_13.0G1448.1, mikado.HiC_scaffold_4.0G868.1, mikado.HiC_scaffold_7.0G1246.1, mikado.HiC_scaffold_728G1.1, mikado.HiC_scaffold_728G1.2, mikado.HiC_scaffold_19.0G1334.1, mikado.HiC_scaffold_3.0G1016.2, mikado.HiC_scaffold_3.0G1016.1, mikado.HiC_scaffold_650G1.1		KUTeg_021248
N0.HOG0000011	OG0000007	n0	mikado.HiC_scaffold_11.0G552.1, mikado.HiC_scaffold_16.0G199.1, mikado.HiC_scaffold_1.0G304.1, mikado.HiC_scaffold_117G1.1, mikado.HiC_scaffold_10.0G517.1, mikado.HiC_scaffold_10.0G520.1, mikado.HiC_scaffold_10.0G522.1, mikado.HiC_scaffold_10.0G672.1, mikado.HiC_scaffold_327G1.1, mikado.HiC_scaffold_10.0G137.1, mikado.HiC_scaffold_3.0G228.1, mikado.HiC_scaffold_1.0G190.1, mikado.HiC_scaffold_136G2.1, mikado.HiC_scaffold_17.0G888.1, mikado.HiC_scaffold_1.0G303.1, mikado.HiC_scaffold_10.0G323.1, mikado.HiC_scaffold_1.0G91.1, mikado.HiC_scaffold_5.0G19.1, mikado.HiC_scaffold_21.0G1259.1, mikado.HiC_scaffold_11.0G596.1, mikado.HiC_scaffold_12.3160685G807.1, mikado.HiC_scaffold_14.0G78.1, mikado.HiC_scaffold_14.0G516.1, mikado.HiC_scaffold_17.0G794.1, mikado.HiC_scaffold_2.0G231.1, mikado.HiC_scaffold_1.0G48.1, mikado.HiC_scaffold_1.0G69.1, mikado.HiC_scaffold_1.0G626.1, mikado.HiC_scaffold_17.0G10.1, mikado.HiC_scaffold_4339G5.1, mikado.HiC_scaffold_21.0G424.1, mikado.HiC_scaffold_17.0G1207.1, mikado.HiC_scaffold_10.0G803.1, mikado.HiC_scaffold_17.0G5.1, mikado.HiC_scaffold_19.0G1378.1, mikado.HiC_scaffold_1.0G15.1, mikado.HiC_scaffold_16.0G422.1, mikado.HiC_scaffold_1.0G3.1, mikado.HiC_scaffold_21.0G236.1, mikado.HiC_scaffold_4.0G601.1, mikado.HiC_scaffold_16.0G1257.1, mikado.HiC_scaffold_16.0G532.1, mikado.HiC_scaffold_2.0G232.1, mikado.HiC_scaffold_2.0G232.2		
N0.HOG0000012	OG0000008	n0	mikado.HiC_scaffold_19.0G435.1	EVM0016222.1, EVM0023822.1, EVM0003754.1, EVM0018345.1, EVM0001727.1, EVM0018861.1, EVM0003323.1, EVM0022072.1, EVM0022022.1, EVM0016586.1, EVM0005171.1, EVM0022311.1, EVM0018092.1, EVM0006401.1, EVM0012425.1, EVM0014483.1, EVM0013928.1, EVM0014219.1, EVM0004848.1, EVM0006463.1, EVM0019792.1, EVM0021542.1, EVM0023738.1, EVM0022120.1, EVM0012401.1, EVM0012803.1, EVM0014508.1, EVM0010265.1, EVM0016527.1, EVM0008405.1, EVM0023544.1, EVM0019596.1, EVM0018461.1, EVM0009263.1, EVM0003525.1, EVM0000755.1, EVM0008250.1	KUTeg_022192, KUTeg_006471, KUTeg_009614
N0.HOG0000013	OG0000009	n1	mikado.HiC_scaffold_21.0G663.1		KUTeg_002928
N0.HOG0000014	OG0000009	n6	mikado.HiC_scaffold_2.0G941.1, mikado.HiC_scaffold_16.0G1398.1		KUTeg_010789
N0.HOG0000015	OG0000009	n8	mikado.HiC_scaffold_21.0G370.1		KUTeg_015904
N0.HOG0000016	OG0000009	n9			KUTeg_016826, KUTeg_015804, KUTeg_005446, KUTeg_010262, KUTeg_000588, KUTeg_000589, KUTeg_011062, KUTeg_000365, KUTeg_017866, KUTeg_017868, KUTeg_018295, KUTeg_017865, KUTeg_018294, KUTeg_011074, KUTeg_010786, KUTeg_011075, KUTeg_010788, KUTeg_011076, KUTeg_010787, KUTeg_011071, KUTeg_011078, KUTeg_011080, KUTeg_011072, KUTeg_000783, KUTeg_000784, KUTeg_000590
N0.HOG0000017	OG0000009	n34	mikado.HiC_scaffold_19.0G400.1, mikado.HiC_scaffold_3.0G159.1		KUTeg_016833, KUTeg_016834
N0.HOG0000018	OG0000010	n0	mikado.HiC_scaffold_3.0G333.1, mikado.HiC_scaffold_3.0G334.1, mikado.HiC_scaffold_8.8335562G759.1, mikado.HiC_scaffold_8.8335562G761.1, mikado.HiC_scaffold_5.0G212.1, mikado.HiC_scaffold_10.0G453.1, mikado.HiC_scaffold_8.8335562G760.1, mikado.HiC_scaffold_8.8335562G758.1, mikado.HiC_scaffold_19.0G1406.1, mikado.HiC_scaffold_1.0G156.1, mikado.HiC_scaffold_1.0G156.2, mikado.HiC_scaffold_1.0G452.1, mikado.HiC_scaffold_10.0G267.1, mikado.HiC_scaffold_2.0G1071.1, mikado.HiC_scaffold_19.0G1405.1, mikado.HiC_scaffold_1.0G453.1, mikado.HiC_scaffold_3.0G83.1, mikado.HiC_scaffold_3.0G84.1, mikado.HiC_scaffold_3.0G82.1, mikado.HiC_scaffold_3.0G200.1, mikado.HiC_scaffold_1.0G191.1, mikado.HiC_scaffold_1.0G455.1, mikado.HiC_scaffold_5.0G263.1, mikado.HiC_scaffold_1.0G487.1, mikado.HiC_scaffold_1.0G489.1, mikado.HiC_scaffold_19.0G1159.1, mikado.HiC_scaffold_1.0G484.1, mikado.HiC_scaffold_1.0G486.1, mikado.HiC_scaffold_1.0G485.1, mikado.HiC_scaffold_14.0G517.1, mikado.HiC_scaffold_1.0G501.1, mikado.HiC_scaffold_1.0G502.1, mikado.HiC_scaffold_1.0G150.1, mikado.HiC_scaffold_21.0G403.1, mikado.HiC_scaffold_21.0G402.1, mikado.HiC_scaffold_10.0G115.1		
N0.HOG0000019	OG0000011	n0	mikado.HiC_scaffold_18.0G807.1, mikado.HiC_scaffold_5.0G204.1, mikado.HiC_scaffold_1.0G364.1, mikado.HiC_scaffold_18.0G138.1, mikado.HiC_scaffold_18.0G37.1, mikado.HiC_scaffold_17.0G120.1, mikado.HiC_scaffold_11.0G16.1, mikado.HiC_scaffold_19.0G1324.1, mikado.HiC_scaffold_11.0G612.1, mikado.HiC_scaffold_15.0G1422.1, mikado.HiC_scaffold_18.0G36.1, mikado.HiC_scaffold_18.0G327.1, mikado.HiC_scaffold_10.0G531.1, mikado.HiC_scaffold_12.3160685G17.1, mikado.HiC_scaffold_12.3160685G44.1, mikado.HiC_scaffold_18.0G341.1, mikado.HiC_scaffold_18.0G245.1, mikado.HiC_scaffold_1.0G291.1, mikado.HiC_scaffold_1.0G301.1, mikado.HiC_scaffold_143G3.1, mikado.HiC_scaffold_19.0G1390.1, mikado.HiC_scaffold_18.0G296.1, mikado.HiC_scaffold_18.0G303.1, mikado.HiC_scaffold_17.0G215.1, mikado.HiC_scaffold_17.0G995.1, mikado.HiC_scaffold_5.0G282.1, mikado.HiC_scaffold_17.0G677.1, mikado.HiC_scaffold_5.0G200.1, mikado.HiC_scaffold_2.0G33.1, mikado.HiC_scaffold_5.0G199.1, mikado.HiC_scaffold_5.0G306.1, mikado.HiC_scaffold_17.0G110.1, mikado.HiC_scaffold_9.0G1510.2, mikado.HiC_scaffold_9.0G1510.1, mikado.HiC_scaffold_17.0G561.1	EVM0007388.1	
N0.HOG0000020	OG0000012	n1	mikado.HiC_scaffold_4.0G635.1	EVM0006215.1	
N0.HOG0000021	OG0000012	n2	mikado.HiC_scaffold_4.0G330.1, mikado.HiC_scaffold_4.0G257.1, mikado.HiC_scaffold_4.0G636.1, mikado.HiC_scaffold_4.0G252.1, mikado.HiC_scaffold_4.0G253.1, mikado.HiC_scaffold_4.0G251.1, mikado.HiC_scaffold_4.0G250.1, mikado.HiC_scaffold_21.0G470.1, mikado.HiC_scaffold_21.0G28.1, mikado.HiC_scaffold_21.0G30.1, mikado.HiC_scaffold_21.0G31.1, mikado.HiC_scaffold_21.0G29.1, mikado.HiC_scaffold_4.0G255.1, mikado.HiC_scaffold_4.0G256.1, mikado.HiC_scaffold_4.0G254.1, mikado.HiC_scaffold_4.0G307.1, mikado.HiC_scaffold_9.0G205.1, mikado.HiC_scaffold_4.0G164.1, mikado.HiC_scaffold_4.0G154.1, mikado.HiC_scaffold_4.0G156.1, mikado.HiC_scaffold_4.0G163.1, mikado.HiC_scaffold_17.0G779.1, mikado.HiC_scaffold_17.0G780.1, mikado.HiC_scaffold_17.0G778.1, mikado.HiC_scaffold_4.0G155.1, mikado.HiC_scaffold_4.0G159.1, mikado.HiC_scaffold_4.0G157.1, mikado.HiC_scaffold_4.0G160.1, mikado.HiC_scaffold_4.0G158.1, mikado.HiC_scaffold_4.0G161.1, mikado.HiC_scaffold_4.0G162.1, mikado.HiC_scaffold_1.0G10.1	EVM0018945.1	
