genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Azeb,Sbro,HiC_scaffold_10.0,Lachesis_group18,Azeb_vs_Sbro: 112_1,6250838,57893357,9568,10349,0_9566,0_10347,51,3503122,18517788,21219,21554,1_12324,1_12659,51,+,3503122,18517788,21219,21554,1_12324,1_12659,Lachesis_group18,Sbro
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 113_1,6036141,34156278,10491,10893,0_10489,0_10891,25,16976440,19618138,4745,4827,1_14700,1_14781,25,+,16976440,19618138,4745,4827,1_14700,1_14781,Lachesis_group3,Sbro
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 114_1,8465295,31571453,10526,10859,0_10524,0_10857,28,24078479,28953462,4951,5074,1_14904,1_15027,28,+,24078479,28953462,4951,5074,1_14904,1_15027,Lachesis_group3,Sbro
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 116_1,38330032,44451164,10967,11034,0_10965,0_11032,7,30152426,30768310,5109,5117,1_15062,1_15070,7,+,30152426,30768310,5109,5117,1_15062,1_15070,Lachesis_group3,Sbro
Azeb,Sbro,HiC_scaffold_12.0,Lachesis_group1,Azeb_vs_Sbro: 117_1,122235,2037013,11122,11147,0_11120,0_11145,7,33913418,34688465,2368,2375,1_3996,1_4003,7,+,33913418,34688465,2368,2375,1_3996,1_4003,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Contig00808_ERROPOS2732884,Azeb_vs_Sbro: 343_1,15345764,17889131,26034,26072,0_26032,0_26070,6,8189,157303,23260,23267,1_1153,1_1160,6,+,8189,157303,23260,23267,1_1153,1_1160,Contig00808_ERROPOS2732884,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 340_1,232359,13433282,25746,26000,0_25744,0_25998,40,29255056,32420658,2234,2342,1_3862,1_3970,40,+,29255056,32420658,2234,2342,1_3862,1_3970,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 342_1,13639829,17689456,26002,26067,0_26000,0_26065,20,12104482,17654794,1840,1968,1_3468,1_3596,20,+,12104482,17654794,1840,1968,1_3468,1_3596,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 345_1,21966110,22668186,26148,26159,0_26146,0_26157,9,48770858,49108955,2738,2749,1_4365,1_4376,9,+,48770858,49108955,2738,2749,1_4365,1_4376,Lachesis_group1,Sbro
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 346_1,22923025,23601701,26163,26175,0_26161,0_26173,11,16125775,16709100,1921,1944,1_3549,1_3572,11,+,16125775,16709100,1921,1944,1_3549,1_3572,Lachesis_group1,Sbro
