0_0: Azeb-opn5a
0_1: Azeb-peropsin1
0_2: Azeb-opnGqn-nc1
0_3: Azeb-opnGq-nc2
0_4: Azeb-RTC
0_5: Azeb-opnGo1
0_6: Azeb-opnGo3
0_7: Azeb-opnGx1
0_8: Azeb-opnGx2
0_9: Azeb-opnGx3
0_10: Azeb-opnGx4
0_11: Azeb-opnGx5
0_12: Azeb-opnGx7
0_13: Azeb-opnGx8
0_14: Azeb-opnGx9
0_15: Azeb-opnGx10
0_16: Azeb-opnGx11
0_17: Azeb-opnGx12
0_18: Azeb-opnGx13
0_19: Azeb-opnGx14
0_20: Azeb-opnGx15
0_21: Azeb-opnGx16
0_22: mikado.HiC_scaffold_1.0G1.1
0_23: mikado.HiC_scaffold_1.0G2.1
0_24: mikado.HiC_scaffold_1.0G3.1
0_25: mikado.HiC_scaffold_1.0G4.1
0_26: mikado.HiC_scaffold_1.0G5.1
0_27: mikado.HiC_scaffold_1.0G6.1
0_28: mikado.HiC_scaffold_1.0G7.1
0_29: mikado.HiC_scaffold_1.0G8.1
0_30: mikado.HiC_scaffold_1.0G9.1
0_31: mikado.HiC_scaffold_1.0G10.1
0_32: mikado.HiC_scaffold_1.0G11.1
0_33: mikado.HiC_scaffold_1.0G12.1
0_34: mikado.HiC_scaffold_1.0G13.1
0_35: mikado.HiC_scaffold_1.0G14.1
0_36: mikado.HiC_scaffold_1.0G15.1
0_37: mikado.HiC_scaffold_1.0G16.1
0_38: mikado.HiC_scaffold_1.0G16.2
0_39: mikado.HiC_scaffold_1.0G18.1
0_40: mikado.HiC_scaffold_1.0G20.1
0_41: mikado.HiC_scaffold_1.0G21.1
0_42: mikado.HiC_scaffold_1.0G23.1
0_43: mikado.HiC_scaffold_1.0G24.1
0_44: mikado.HiC_scaffold_1.0G25.1
0_45: mikado.HiC_scaffold_1.0G26.1
0_46: mikado.HiC_scaffold_1.0G26.2
0_47: mikado.HiC_scaffold_1.0G27.1
0_48: mikado.HiC_scaffold_1.0G28.1
0_49: mikado.HiC_scaffold_1.0G29.1
0_50: mikado.HiC_scaffold_1.0G30.1
0_51: mikado.HiC_scaffold_1.0G31.1
0_52: mikado.HiC_scaffold_1.0G32.1
0_53: mikado.HiC_scaffold_1.0G33.1
0_54: mikado.HiC_scaffold_1.0G34.1
0_55: mikado.HiC_scaffold_1.0G35.1
0_56: mikado.HiC_scaffold_1.0G36.1
0_57: mikado.HiC_scaffold_1.0G38.1
0_58: mikado.HiC_scaffold_1.0G37.1
0_59: mikado.HiC_scaffold_1.0G39.1
0_60: mikado.HiC_scaffold_1.0G42.1
0_61: mikado.HiC_scaffold_1.0G41.1
0_62: mikado.HiC_scaffold_1.0G43.1
0_63: mikado.HiC_scaffold_1.0G44.1
0_64: mikado.HiC_scaffold_1.0G45.1
0_65: mikado.HiC_scaffold_1.0G46.1
0_66: mikado.HiC_scaffold_1.0G47.1
0_67: mikado.HiC_scaffold_1.0G48.1
0_68: mikado.HiC_scaffold_1.0G49.1
0_69: mikado.HiC_scaffold_1.0G50.1
0_70: mikado.HiC_scaffold_1.0G51.1
0_71: mikado.HiC_scaffold_1.0G52.1
0_72: mikado.HiC_scaffold_1.0G53.1
0_73: mikado.HiC_scaffold_1.0G54.1
0_74: mikado.HiC_scaffold_1.0G55.1
0_75: mikado.HiC_scaffold_1.0G56.1
0_76: mikado.HiC_scaffold_1.0G57.1
0_77: mikado.HiC_scaffold_1.0G58.1
0_78: mikado.HiC_scaffold_1.0G59.1
0_79: mikado.HiC_scaffold_1.0G60.1
0_80: mikado.HiC_scaffold_1.0G61.1
0_81: mikado.HiC_scaffold_1.0G62.1
0_82: mikado.HiC_scaffold_1.0G63.1
0_83: mikado.HiC_scaffold_1.0G64.1
0_84: mikado.HiC_scaffold_1.0G64.2
0_85: mikado.HiC_scaffold_1.0G65.1
0_86: mikado.HiC_scaffold_1.0G66.2
0_87: mikado.HiC_scaffold_1.0G66.1
0_88: mikado.HiC_scaffold_1.0G67.1
0_89: mikado.HiC_scaffold_1.0G68.1
0_90: mikado.HiC_scaffold_1.0G69.1
0_91: mikado.HiC_scaffold_1.0G70.1
0_92: mikado.HiC_scaffold_1.0G71.1
0_93: mikado.HiC_scaffold_1.0G73.1
0_94: mikado.HiC_scaffold_1.0G74.1
0_95: mikado.HiC_scaffold_1.0G75.1
0_96: mikado.HiC_scaffold_1.0G76.1
0_97: mikado.HiC_scaffold_1.0G77.1
0_98: mikado.HiC_scaffold_1.0G78.1
0_99: mikado.HiC_scaffold_1.0G79.1
0_100: mikado.HiC_scaffold_1.0G81.1
0_101: mikado.HiC_scaffold_1.0G82.1
0_102: mikado.HiC_scaffold_1.0G83.1
0_103: mikado.HiC_scaffold_1.0G84.1
0_104: mikado.HiC_scaffold_1.0G85.1
0_105: mikado.HiC_scaffold_1.0G86.1
0_106: mikado.HiC_scaffold_1.0G87.1
0_107: mikado.HiC_scaffold_1.0G88.1
0_108: mikado.HiC_scaffold_1.0G89.1
0_109: mikado.HiC_scaffold_1.0G90.1
0_110: mikado.HiC_scaffold_1.0G90.2
0_111: mikado.HiC_scaffold_1.0G91.1
0_112: mikado.HiC_scaffold_1.0G92.1
0_113: mikado.HiC_scaffold_1.0G92.2
0_114: mikado.HiC_scaffold_1.0G93.1
0_115: mikado.HiC_scaffold_1.0G94.1
0_116: mikado.HiC_scaffold_1.0G95.1
0_117: mikado.HiC_scaffold_1.0G96.1
0_118: mikado.HiC_scaffold_1.0G97.1
0_119: mikado.HiC_scaffold_1.0G98.1
0_120: mikado.HiC_scaffold_1.0G99.1
0_121: mikado.HiC_scaffold_1.0G100.1
0_122: mikado.HiC_scaffold_1.0G101.1
0_123: mikado.HiC_scaffold_1.0G102.1
0_124: mikado.HiC_scaffold_1.0G103.1
0_125: mikado.HiC_scaffold_1.0G104.1
0_126: mikado.HiC_scaffold_1.0G105.1
0_127: mikado.HiC_scaffold_1.0G106.1
0_128: mikado.HiC_scaffold_1.0G107.1
0_129: mikado.HiC_scaffold_1.0G108.1
0_130: mikado.HiC_scaffold_1.0G109.1
0_131: mikado.HiC_scaffold_1.0G110.1
0_132: mikado.HiC_scaffold_1.0G111.1
0_133: mikado.HiC_scaffold_1.0G112.1
0_134: mikado.HiC_scaffold_1.0G113.1
0_135: mikado.HiC_scaffold_1.0G114.1
0_136: mikado.HiC_scaffold_1.0G115.1
0_137: mikado.HiC_scaffold_1.0G116.1
0_138: mikado.HiC_scaffold_1.0G117.1
0_139: mikado.HiC_scaffold_1.0G118.1
0_140: mikado.HiC_scaffold_1.0G119.1
0_141: mikado.HiC_scaffold_1.0G120.1
0_142: mikado.HiC_scaffold_1.0G121.1
0_143: mikado.HiC_scaffold_1.0G122.1
0_144: mikado.HiC_scaffold_1.0G123.1
0_145: mikado.HiC_scaffold_1.0G124.1
0_146: mikado.HiC_scaffold_1.0G125.1
0_147: mikado.HiC_scaffold_1.0G126.1
0_148: mikado.HiC_scaffold_1.0G127.1
0_149: mikado.HiC_scaffold_1.0G128.1
0_150: mikado.HiC_scaffold_1.0G129.1
0_151: mikado.HiC_scaffold_1.0G130.1
0_152: mikado.HiC_scaffold_1.0G131.1
0_153: mikado.HiC_scaffold_1.0G132.1
0_154: mikado.HiC_scaffold_1.0G134.1
0_155: mikado.HiC_scaffold_1.0G133.1
0_156: mikado.HiC_scaffold_1.0G135.1
0_157: mikado.HiC_scaffold_1.0G136.1
0_158: mikado.HiC_scaffold_1.0G137.1
0_159: mikado.HiC_scaffold_1.0G138.1
0_160: mikado.HiC_scaffold_1.0G139.1
0_161: mikado.HiC_scaffold_1.0G140.1
0_162: mikado.HiC_scaffold_1.0G141.1
0_163: mikado.HiC_scaffold_1.0G142.1
0_164: mikado.HiC_scaffold_1.0G143.1
0_165: mikado.HiC_scaffold_1.0G144.1
0_166: mikado.HiC_scaffold_1.0G145.1
0_167: mikado.HiC_scaffold_1.0G146.1
0_168: mikado.HiC_scaffold_1.0G147.1
0_169: mikado.HiC_scaffold_1.0G148.1
0_170: mikado.HiC_scaffold_1.0G149.1
0_171: mikado.HiC_scaffold_1.0G150.1
0_172: mikado.HiC_scaffold_1.0G151.1
0_173: mikado.HiC_scaffold_1.0G152.1
0_174: mikado.HiC_scaffold_1.0G153.1
0_175: mikado.HiC_scaffold_1.0G154.1
0_176: mikado.HiC_scaffold_1.0G155.1
0_177: mikado.HiC_scaffold_1.0G156.2
0_178: mikado.HiC_scaffold_1.0G156.1
0_179: mikado.HiC_scaffold_1.0G157.1
0_180: mikado.HiC_scaffold_1.0G158.1
0_181: mikado.HiC_scaffold_1.0G159.1
0_182: mikado.HiC_scaffold_1.0G161.1
0_183: mikado.HiC_scaffold_1.0G162.1
0_184: mikado.HiC_scaffold_1.0G163.1
0_185: mikado.HiC_scaffold_1.0G164.1
0_186: mikado.HiC_scaffold_1.0G165.1
0_187: mikado.HiC_scaffold_1.0G166.1
0_188: mikado.HiC_scaffold_1.0G167.1
0_189: mikado.HiC_scaffold_1.0G168.1
0_190: mikado.HiC_scaffold_1.0G169.1
0_191: mikado.HiC_scaffold_1.0G170.1
0_192: mikado.HiC_scaffold_1.0G171.1
0_193: mikado.HiC_scaffold_1.0G172.1
0_194: mikado.HiC_scaffold_1.0G173.1
0_195: mikado.HiC_scaffold_1.0G174.1
0_196: mikado.HiC_scaffold_1.0G175.1
0_197: mikado.HiC_scaffold_1.0G176.1
0_198: mikado.HiC_scaffold_1.0G177.1
0_199: mikado.HiC_scaffold_1.0G178.1
0_200: mikado.HiC_scaffold_1.0G179.1
0_201: mikado.HiC_scaffold_1.0G180.1
0_202: mikado.HiC_scaffold_1.0G181.1
0_203: mikado.HiC_scaffold_1.0G182.1
0_204: mikado.HiC_scaffold_1.0G182.2
0_205: mikado.HiC_scaffold_1.0G183.1
0_206: mikado.HiC_scaffold_1.0G184.1
0_207: mikado.HiC_scaffold_1.0G185.1
0_208: mikado.HiC_scaffold_1.0G185.2
0_209: mikado.HiC_scaffold_1.0G186.1
0_210: mikado.HiC_scaffold_1.0G187.1
0_211: mikado.HiC_scaffold_1.0G188.1
0_212: mikado.HiC_scaffold_1.0G189.1
0_213: mikado.HiC_scaffold_1.0G190.1
0_214: mikado.HiC_scaffold_1.0G191.1
0_215: mikado.HiC_scaffold_1.0G192.1
0_216: mikado.HiC_scaffold_1.0G193.1
0_217: mikado.HiC_scaffold_1.0G194.1
0_218: mikado.HiC_scaffold_1.0G195.1
0_219: mikado.HiC_scaffold_1.0G196.1
0_220: mikado.HiC_scaffold_1.0G197.1
