genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2,refChr,refGenome
Azeb,Sbro,HiC_scaffold_1.0,Lachesis_group16,Azeb_vs_Sbro: 1_1,82639098,82952083,1028,1033,0_1034,0_1039,5,8378819,8570552,19827,19831,1_10933,1_10937,5,+,8378819,8570552,19827,19831,1_10933,1_10937,JARBDR010000376.1,Tgra
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 113_1,6323143,32631837,10494,10873,0_10492,0_10871,21,17100977,19618138,4748,4827,1_14703,1_14781,21,+,17100977,19618138,4748,4827,1_14703,1_14781,CM056597.1,Tgra
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 114_1,9014714,31571453,10533,10859,0_10531,0_10857,23,24214504,28953462,4958,5074,1_14911,1_15027,23,+,24214504,28953462,4958,5074,1_14911,1_15027,CM056597.1,Tgra
Azeb,Sbro,HiC_scaffold_12.0,Lachesis_group1,Azeb_vs_Sbro: 117_1,122235,2037013,11122,11147,0_11120,0_11145,7,33913418,34688465,2368,2375,1_3996,1_4003,7,+,33913418,34688465,2368,2375,1_3996,1_4003,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 340_1,232359,13433282,25746,26000,0_25744,0_25998,35,29255056,32420658,2234,2342,1_3862,1_3970,35,+,29255056,32420658,2234,2342,1_3862,1_3970,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 342_1,13639829,14861484,26002,26022,0_26000,0_26020,10,12104482,12663164,1840,1857,1_3468,1_3485,10,+,12104482,12663164,1840,1857,1_3468,1_3485,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 345_1,22066035,22639390,26151,26158,0_26149,0_26156,5,48812749,49090228,2741,2748,1_4368,1_4375,5,+,48812749,49090228,2741,2748,1_4368,1_4375,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 346_1,22972413,23601701,26165,26175,0_26163,0_26173,7,16125775,16709100,1921,1944,1_3549,1_3572,7,+,16125775,16709100,1921,1944,1_3549,1_3572,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 349_1,33281856,43209578,26320,26416,0_26318,0_26414,22,3710277,5365368,1609,1650,1_3237,1_3278,22,+,3710277,5365368,1609,1650,1_3237,1_3278,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 351_1,45429852,47229906,26447,26479,0_26445,0_26477,12,18170779,18835883,1976,1995,1_3604,1_3623,12,+,18170779,18835883,1976,1995,1_3604,1_3623,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 353_1,50735615,52043261,26530,26549,0_26528,0_26547,11,23820355,24843947,2119,2135,1_3747,1_3763,11,+,23820355,24843947,2119,2135,1_3747,1_3763,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 354_1,64355439,65123958,26759,26774,0_26757,0_26772,11,6079414,6505640,1674,1696,1_3302,1_3324,11,+,6079414,6505640,1674,1696,1_3302,1_3324,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 356_1,68458414,73534115,26837,26918,0_26836,0_26917,15,49785906,50731184,2769,2801,1_4396,1_4428,15,+,49785906,50731184,2769,2801,1_4396,1_4428,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 357_1,83604087,86484129,27077,27125,0_27076,0_27124,30,43290422,44888927,2584,2633,1_4211,1_4260,30,+,43290422,44888927,2584,2633,1_4211,1_4260,CM056596.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 118_1,404965,1014595,11180,11191,0_11178,0_11189,10,24596345,24936857,6352,6365,1_16303,1_16316,10,+,24596345,24936857,6352,6365,1_16303,1_16316,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 119_1,1070609,2462657,11192,11215,0_11190,0_11213,7,46532357,47145225,6960,6983,1_16911,1_16934,7,+,46532357,47145225,6960,6983,1_16911,1_16934,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 120_1,3289141,4271825,11225,11244,0_11223,0_11242,16,42938392,43450188,6839,6856,1_16790,1_16807,16,+,42938392,43450188,6839,6856,1_16790,1_16807,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 121_1,6369386,7677598,11280,11303,0_11278,0_11300,16,12940335,13605427,6021,6041,1_15972,1_15992,16,+,12940335,13605427,6021,6041,1_15972,1_15992,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 124_1,12168012,12908794,11391,11406,0_11389,0_11403,7,15946190,16541682,6105,6121,1_16056,1_16072,7,+,15946190,16541682,6105,6121,1_16056,1_16072,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 125_1,12930626,13568075,11408,11422,0_11406,0_11420,12,2341053,2739805,5724,5740,1_15675,1_15691,12,+,2341053,2739805,5724,5740,1_15675,1_15691,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 128_1,17472468,17927161,11499,11510,0_11497,0_11508,10,46073139,46319938,6943,6954,1_16894,1_16905,10,+,46073139,46319938,6943,6954,1_16894,1_16905,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 130_1,19160035,20120136,11537,11552,0_11535,0_11550,7,544021,922468,5668,5679,1_15619,1_15630,7,+,544021,922468,5668,5679,1_15619,1_15630,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 132_1,22404171,22852845,11589,11599,0_11587,0_11596,7,29791413,30180016,6489,6497,1_16440,1_16448,7,+,29791413,30180016,6489,6497,1_16440,1_16448,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 134_1,27801017,28279455,11683,11690,0_11681,0_11688,6,34455540,34834265,6614,6624,1_16565,1_16575,6,+,34455540,34834265,6614,6624,1_16565,1_16575,CM056598.1,Tgra
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 135_1,29803721,31092132,11721,11739,0_11719,0_11737,6,17768251,19133944,6160,6184,1_16111,1_16135,6,+,17768251,19133944,6160,6184,1_16111,1_16135,CM056598.1,Tgra
