genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
Azeb,Sbro,HiC_scaffold_1.0,Lachesis_group16,Azeb_vs_Sbro: 560,48193399,48593584,558,568,0_564,0_574,7,3716869,3833932,19714,19720,1_10820,1_10826,7,+,3716869,3833932,19714,19720,1_10820,1_10826
Azeb,Sbro,HiC_scaffold_1.0,Lachesis_group16,Azeb_vs_Sbro: 562,82639098,82952083,1028,1033,0_1034,0_1039,5,8378819,8570552,19827,19831,1_10933,1_10937,5,+,8378819,8570552,19827,19831,1_10933,1_10937
Azeb,Sbro,HiC_scaffold_1.0,Lachesis_group16,Azeb_vs_Sbro: 569,44799075,46776086,513,540,0_519,0_546,8,19190589,20537250,20079,20111,1_11185,1_11217,8,+,19190589,20537250,20079,20111,1_11185,1_11217
Azeb,Sbro,HiC_scaffold_1.0,Lachesis_group16,Azeb_vs_Sbro: 572,36224667,40896140,389,452,0_395,0_458,11,27097557,27609056,20241,20263,1_11346,1_11368,11,+,27097557,27609056,20241,20263,1_11346,1_11368
Azeb,Sbro,HiC_scaffold_1.0,Lachesis_group16,Azeb_vs_Sbro: 573,49711635,50305650,580,591,0_585,0_597,6,29377128,29550893,20303,20308,1_11408,1_11413,6,+,29377128,29550893,20303,20308,1_11408,1_11413
Azeb,Sbro,HiC_scaffold_10.0,Lachesis_group18,Azeb_vs_Sbro: 593,14389198,18595223,9661,9731,0_9659,0_9730,8,11751975,13758458,21375,21416,1_12480,1_12521,8,+,11751975,13758458,21375,21416,1_12480,1_12521
Azeb,Sbro,HiC_scaffold_10.0,Lachesis_group18,Azeb_vs_Sbro: 594,6250838,10778320,9568,9620,0_9566,0_9618,8,14063708,15368040,21425,21464,1_12530,1_12569,8,+,14063708,15368040,21425,21464,1_12530,1_12569
Azeb,Sbro,HiC_scaffold_10.0,Lachesis_group18,Azeb_vs_Sbro: 595,22484628,22833182,9789,9797,0_9787,0_9795,6,16477276,16615330,21489,21495,1_12594,1_12600,6,+,16477276,16615330,21489,21495,1_12594,1_12600
Azeb,Sbro,HiC_scaffold_10.0,Lachesis_group18,Azeb_vs_Sbro: 599,56232819,57893357,10323,10349,0_10321,0_10347,7,17434221,18517788,21521,21554,1_12626,1_12659,7,+,17434221,18517788,21521,21554,1_12626,1_12659
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 166,6036141,6499375,10491,10497,0_10489,0_10495,7,16976440,17240921,4745,4753,1_14700,1_14708,7,+,16976440,17240921,4745,4753,1_14700,1_14708
