genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
Azeb,Sbro,HiC_scaffold_10.0,Lachesis_group18,Azeb_vs_Sbro: 112,6250838,57893357,9568,10349,0_9566,0_10347,51,3503122,18517788,21219,21554,1_12324,1_12659,51,+,3503122,18517788,21219,21554,1_12324,1_12659
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 113,6036141,34156278,10491,10893,0_10489,0_10891,25,16976440,19618138,4745,4827,1_14700,1_14781,25,+,16976440,19618138,4745,4827,1_14700,1_14781
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 114,8465295,31571453,10526,10859,0_10524,0_10857,28,24078479,28953462,4951,5074,1_14904,1_15027,28,+,24078479,28953462,4951,5074,1_14904,1_15027
Azeb,Sbro,HiC_scaffold_11.0,Lachesis_group3,Azeb_vs_Sbro: 116,38330032,44451164,10967,11034,0_10965,0_11032,7,30152426,30768310,5109,5117,1_15062,1_15070,7,+,30152426,30768310,5109,5117,1_15062,1_15070
Azeb,Sbro,HiC_scaffold_12.0,Lachesis_group1,Azeb_vs_Sbro: 117,122235,2037013,11122,11147,0_11120,0_11145,7,33913418,34688465,2368,2375,1_3996,1_4003,7,+,33913418,34688465,2368,2375,1_3996,1_4003
Azeb,Sbro,HiC_scaffold_12.3160685,Contig00808_ERROPOS2732884,Azeb_vs_Sbro: 343,15345764,17889131,26034,26072,0_26032,0_26070,6,8189,157303,23260,23267,1_1153,1_1160,6,+,8189,157303,23260,23267,1_1153,1_1160
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 340,232359,13433282,25746,26000,0_25744,0_25998,40,29255056,32420658,2234,2342,1_3862,1_3970,40,+,29255056,32420658,2234,2342,1_3862,1_3970
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 342,13639829,17689456,26002,26067,0_26000,0_26065,20,12104482,17654794,1840,1968,1_3468,1_3596,20,+,12104482,17654794,1840,1968,1_3468,1_3596
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 345,21966110,22668186,26148,26159,0_26146,0_26157,9,48770858,49108955,2738,2749,1_4365,1_4376,9,+,48770858,49108955,2738,2749,1_4365,1_4376
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 346,22923025,23601701,26163,26175,0_26161,0_26173,11,16125775,16709100,1921,1944,1_3549,1_3572,11,+,16125775,16709100,1921,1944,1_3549,1_3572
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 349,33281856,43209578,26320,26416,0_26318,0_26414,24,3710277,5365368,1609,1650,1_3237,1_3278,24,+,3710277,5365368,1609,1650,1_3237,1_3278
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 351,45429852,47445243,26447,26482,0_26445,0_26480,17,18170779,18864137,1976,1997,1_3604,1_3625,17,+,18170779,18864137,1976,1997,1_3604,1_3625
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 352,48124299,49708262,26494,26514,0_26492,0_26512,7,8052082,8717057,1738,1753,1_3366,1_3381,7,+,8052082,8717057,1738,1753,1_3366,1_3381
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 354,64355439,65123958,26759,26774,0_26757,0_26772,13,6079414,6505640,1674,1696,1_3302,1_3324,13,+,6079414,6505640,1674,1696,1_3302,1_3324
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 356,68458414,73557963,26837,26919,0_26836,0_26918,18,49616936,50755966,2763,2802,1_4390,1_4429,18,+,49616936,50755966,2763,2802,1_4390,1_4429
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 357,83604087,86484129,27077,27125,0_27076,0_27124,35,43290422,44888927,2584,2633,1_4211,1_4260,35,+,43290422,44888927,2584,2633,1_4211,1_4260
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 358,87927286,93917755,27157,27259,0_27156,0_27258,14,42270337,43073120,2552,2575,1_4179,1_4202,14,+,42270337,43073120,2552,2575,1_4179,1_4202
Azeb,Sbro,HiC_scaffold_12.3160685,Lachesis_group1,Azeb_vs_Sbro: 363,104595974,105076279,27431,27441,0_27430,0_27440,6,47187079,47412070,2706,2715,1_4333,1_4342,6,+,47187079,47412070,2706,2715,1_4333,1_4342
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 118,404965,1014595,11180,11191,0_11178,0_11189,11,24596345,24936857,6352,6365,1_16303,1_16316,11,+,24596345,24936857,6352,6365,1_16303,1_16316
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 119,1070609,2462657,11192,11215,0_11190,0_11213,10,46532357,47145225,6960,6983,1_16911,1_16934,10,+,46532357,47145225,6960,6983,1_16911,1_16934
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 120,3289141,4271825,11225,11244,0_11223,0_11242,16,42938392,43450188,6839,6856,1_16790,1_16807,16,+,42938392,43450188,6839,6856,1_16790,1_16807
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 121,5801891,7677598,11269,11303,0_11267,0_11300,22,12692905,13605427,6016,6041,1_15967,1_15992,22,+,12692905,13605427,6016,6041,1_15967,1_15992
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 124,12168012,12920806,11391,11407,0_11389,0_11405,12,15946190,16554589,6105,6122,1_16056,1_16073,12,+,15946190,16554589,6105,6122,1_16056,1_16073
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 125,12930626,13568075,11408,11422,0_11406,0_11420,14,2341053,2739805,5724,5740,1_15675,1_15691,14,+,2341053,2739805,5724,5740,1_15675,1_15691
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 128,17403288,17927161,11498,11510,0_11496,0_11508,13,46033236,46319938,6942,6954,1_16893,1_16905,13,+,46033236,46319938,6942,6954,1_16893,1_16905
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 129,18669577,19071025,11524,11533,0_11522,0_11531,6,49085262,49433966,7025,7032,1_16976,1_16983,6,+,49085262,49433966,7025,7032,1_16976,1_16983
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 130,19160035,20120136,11537,11552,0_11535,0_11550,9,544021,922468,5668,5679,1_15619,1_15630,9,+,544021,922468,5668,5679,1_15619,1_15630
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 132,22404171,22852845,11589,11599,0_11587,0_11596,7,29791413,30180016,6489,6497,1_16440,1_16448,7,+,29791413,30180016,6489,6497,1_16440,1_16448
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 134,27801017,28490710,11683,11695,0_11681,0_11692,7,34455540,34941747,6614,6630,1_16565,1_16581,7,+,34455540,34941747,6614,6630,1_16565,1_16581
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 135,29803721,31092132,11721,11739,0_11719,0_11737,9,17768251,19133944,6160,6184,1_16111,1_16135,9,+,17768251,19133944,6160,6184,1_16111,1_16135
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 136,35226415,37123835,11805,11843,0_11803,0_11841,25,11369075,12119424,5963,5997,1_15914,1_15948,25,+,11369075,12119424,5963,5997,1_15914,1_15948
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 137,38028674,39268212,11857,11872,0_11855,0_11870,11,30189613,31091058,6498,6524,1_16449,1_16475,11,+,30189613,31091058,6498,6524,1_16449,1_16475
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 140,44681449,45650483,11964,11985,0_11962,0_11983,15,45481383,45941591,6921,6939,1_16872,1_16890,15,+,45481383,45941591,6921,6939,1_16872,1_16890
Azeb,Sbro,HiC_scaffold_13.0,Lachesis_group4,Azeb_vs_Sbro: 141,45842284,48136733,11990,12022,0_11988,0_12020,7,40143129,40653208,6750,6769,1_16701,1_16720,7,+,40143129,40653208,6750,6769,1_16701,1_16720
