Orthogroup	Azeb	Sbro	Tgra
OG0017989	Azeb-opnGx9		
OG0017990	mikado.HiC_scaffold_1.0G2.1		
OG0017991	mikado.HiC_scaffold_1.0G18.1		
OG0017992	mikado.HiC_scaffold_1.0G23.1		
OG0017993	mikado.HiC_scaffold_1.0G56.1		
OG0017994	mikado.HiC_scaffold_1.0G73.1		
OG0017995	mikado.HiC_scaffold_1.0G75.1		
OG0017996	mikado.HiC_scaffold_1.0G77.1		
OG0017997	mikado.HiC_scaffold_1.0G78.1		
OG0017998	mikado.HiC_scaffold_1.0G85.1		
OG0017999	mikado.HiC_scaffold_1.0G97.1		
OG0018000	mikado.HiC_scaffold_1.0G118.1		
OG0018001	mikado.HiC_scaffold_1.0G120.1		
OG0018002	mikado.HiC_scaffold_1.0G121.1		
OG0018003	mikado.HiC_scaffold_1.0G122.1		
OG0018004	mikado.HiC_scaffold_1.0G130.1		
OG0018005	mikado.HiC_scaffold_1.0G135.1		
OG0018006	mikado.HiC_scaffold_1.0G171.1		
OG0018007	mikado.HiC_scaffold_1.0G174.1		
OG0018008	mikado.HiC_scaffold_1.0G178.1		
OG0018009	mikado.HiC_scaffold_1.0G200.1		
OG0018010	mikado.HiC_scaffold_1.0G221.1		
OG0018011	mikado.HiC_scaffold_1.0G230.1		
OG0018012	mikado.HiC_scaffold_1.0G237.1		
OG0018013	mikado.HiC_scaffold_1.0G267.1		
OG0018014	mikado.HiC_scaffold_1.0G273.1		
OG0018015	mikado.HiC_scaffold_1.0G289.1		
OG0018016	mikado.HiC_scaffold_1.0G311.1		
OG0018017	mikado.HiC_scaffold_1.0G312.1		
OG0018018	mikado.HiC_scaffold_1.0G321.1		
OG0018019	mikado.HiC_scaffold_1.0G333.1		
OG0018020	mikado.HiC_scaffold_1.0G348.1		
OG0018021	mikado.HiC_scaffold_1.0G352.1		
OG0018022	mikado.HiC_scaffold_1.0G354.1		
OG0018023	mikado.HiC_scaffold_1.0G358.1		
OG0018024	mikado.HiC_scaffold_1.0G390.1		
OG0018025	mikado.HiC_scaffold_1.0G395.1		
OG0018026	mikado.HiC_scaffold_1.0G402.1		
OG0018027	mikado.HiC_scaffold_1.0G406.1		
OG0018028	mikado.HiC_scaffold_1.0G411.1		
OG0018029	mikado.HiC_scaffold_1.0G420.1		
OG0018030	mikado.HiC_scaffold_1.0G421.1		
OG0018031	mikado.HiC_scaffold_1.0G438.1		
OG0018032	mikado.HiC_scaffold_1.0G456.1		
OG0018033	mikado.HiC_scaffold_1.0G491.1		
OG0018034	mikado.HiC_scaffold_1.0G492.1		
OG0018035	mikado.HiC_scaffold_1.0G495.1		
OG0018036	mikado.HiC_scaffold_1.0G496.1		
OG0018037	mikado.HiC_scaffold_1.0G512.1		
OG0018038	mikado.HiC_scaffold_1.0G524.1		
OG0018039	mikado.HiC_scaffold_1.0G526.1		
OG0018040	mikado.HiC_scaffold_1.0G537.1		
OG0018041	mikado.HiC_scaffold_1.0G556.1		
OG0018042	mikado.HiC_scaffold_1.0G558.1		
OG0018043	mikado.HiC_scaffold_1.0G572.1		
OG0018044	mikado.HiC_scaffold_1.0G574.1		
OG0018045	mikado.HiC_scaffold_1.0G577.1		
OG0018046	mikado.HiC_scaffold_1.0G579.1		
OG0018047	mikado.HiC_scaffold_1.0G580.1		
OG0018048	mikado.HiC_scaffold_1.0G583.1		
