Orthogroup	Azeb	Tgra
OG0000000	mikado.HiC_scaffold_12.3160685G1517.1	KUTeg_005562
OG0000000	mikado.HiC_scaffold_2.0G553.1	KUTeg_021748
OG0000002	mikado.HiC_scaffold_16.0G17.1	KUTeg_000267, KUTeg_000635, KUTeg_018359
OG0000004	mikado.HiC_scaffold_2.0G517.1	KUTeg_015485, KUTeg_015704, KUTeg_011448, KUTeg_006131, KUTeg_006061, KUTeg_011449, KUTeg_011455, KUTeg_011432, KUTeg_008189, KUTeg_006058, KUTeg_011431, KUTeg_011451, KUTeg_014769, KUTeg_023489, KUTeg_017735, KUTeg_006060, KUTeg_006056, KUTeg_017302, KUTeg_000869, KUTeg_011435, KUTeg_006062, KUTeg_006132, KUTeg_006054, KUTeg_006057, KUTeg_001064, KUTeg_023480, KUTeg_001063, KUTeg_004002, KUTeg_003997, KUTeg_006059, KUTeg_006055, KUTeg_006262, KUTeg_006263, KUTeg_001069, KUTeg_008499, KUTeg_008500, KUTeg_023362, KUTeg_022848, KUTeg_011433, KUTeg_011439, KUTeg_011445, KUTeg_011454, KUTeg_011452, KUTeg_011430, KUTeg_011447, KUTeg_000870, KUTeg_011456, KUTeg_011446
OG0000005	mikado.HiC_scaffold_5.0G539.1	KUTeg_024695
OG0000005	mikado.HiC_scaffold_17.0G376.1	KUTeg_016065, KUTeg_019685, KUTeg_015565, KUTeg_004162, KUTeg_000337, KUTeg_000836, KUTeg_000134, KUTeg_000630, KUTeg_001239, KUTeg_001237, KUTeg_001049, KUTeg_001238, KUTeg_019683, KUTeg_001236, KUTeg_001048, KUTeg_001046, KUTeg_009331, KUTeg_000336, KUTeg_000340, KUTeg_000139, KUTeg_000837, KUTeg_001050, KUTeg_000339, KUTeg_020103, KUTeg_009333, KUTeg_009330, KUTeg_001047, KUTeg_012244, KUTeg_024142, KUTeg_023910, KUTeg_024051, KUTeg_024822, KUTeg_024226, KUTeg_023941, KUTeg_024363, KUTeg_024145, KUTeg_024151, KUTeg_024574, KUTeg_025055, KUTeg_024366, KUTeg_024364, KUTeg_024144, KUTeg_024367, KUTeg_024362, KUTeg_024405, KUTeg_024090
OG0000006	mikado.HiC_scaffold_19.0G1479.1, mikado.HiC_scaffold_13.0G1579.1, mikado.HiC_scaffold_13.0G1276.1, mikado.HiC_scaffold_7.0G358.1, mikado.HiC_scaffold_10.0G336.1, mikado.HiC_scaffold_13.0G219.1, mikado.HiC_scaffold_10.0G877.1, mikado.HiC_scaffold_15.0G1320.1, mikado.HiC_scaffold_21.0G1238.1, mikado.HiC_scaffold_8.8335562G831.1, mikado.HiC_scaffold_7.0G1245.1, mikado.HiC_scaffold_4.0G867.1, mikado.HiC_scaffold_5.0G529.1, mikado.HiC_scaffold_19.0G793.2, mikado.HiC_scaffold_19.0G793.1, mikado.HiC_scaffold_21.0G1231.1, mikado.HiC_scaffold_21.0G164.1, mikado.HiC_scaffold_17.0G591.1, mikado.HiC_scaffold_521G1.2, mikado.HiC_scaffold_15.0G919.1, mikado.HiC_scaffold_19.0G1497.2, mikado.HiC_scaffold_8.8335562G757.1, mikado.HiC_scaffold_2.0G405.1, mikado.HiC_scaffold_21.0G1051.1, mikado.HiC_scaffold_15.0G1419.2, mikado.HiC_scaffold_15.0G1419.3, mikado.HiC_scaffold_15.0G1419.1, mikado.HiC_scaffold_7.0G1121.1, mikado.HiC_scaffold_16.0G1667.1, mikado.HiC_scaffold_1.0G659.1, mikado.HiC_scaffold_4.0G387.2, mikado.HiC_scaffold_4.0G387.1, mikado.HiC_scaffold_10.0G821.1, mikado.HiC_scaffold_19.0G1497.1, mikado.HiC_scaffold_521G1.3, mikado.HiC_scaffold_521G1.1, mikado.HiC_scaffold_17.0G959.1, mikado.HiC_scaffold_10.0G540.1, mikado.HiC_scaffold_13.0G1448.1, mikado.HiC_scaffold_4.0G868.1, mikado.HiC_scaffold_7.0G1246.1, mikado.HiC_scaffold_728G1.1, mikado.HiC_scaffold_728G1.2, mikado.HiC_scaffold_19.0G1334.1, mikado.HiC_scaffold_3.0G1016.2, mikado.HiC_scaffold_3.0G1016.1, mikado.HiC_scaffold_650G1.1	KUTeg_021248
OG0000008	mikado.HiC_scaffold_19.0G435.1	KUTeg_022192, KUTeg_006471, KUTeg_009614
OG0000009	mikado.HiC_scaffold_21.0G663.1	KUTeg_002928
OG0000009	mikado.HiC_scaffold_2.0G941.1, mikado.HiC_scaffold_16.0G1398.1	KUTeg_010789
